listing_date_key,listing_id,platform_id,product_type_id,user_id,price,status_id,valid_from,valid_to
2021-12-01,551236,500,10000,990001,100.69,10,2021-12-01,
2021-12-01,551237,500,10001,990002,200,10,2021-12-01,
2021-12-02,551238,510,10002,990003,58,10,2021-12-02,
2021-12-02,551239,520,10003,990004,369,10,2021-12-02,
2021-12-02,551240,520,10004,990005,452,10,2021-12-02,
2021-12-03,551241,500,10005,990006,"3,336.00",10,2021-12-03,
2021-12-04,551242,500,10006,990007,"1,242.00",10,2021-12-04,
2021-12-05,551243,510,10007,990009,289,10,2021-12-05,
2021-12-06,551244,520,10008,990010,20,10,2021-12-06,
2021-12-07,551245,520,10009,990011,1,10,2021-12-07,
2021-12-08,551246,500,10010,990012,458,10,2021-12-08,2021-12-09
2021-12-09,551246,500,10010,990012,458,15,2021-12-09,
2021-12-09,551247,500,10011,990013,122,10,2021-12-09,2022-01-09
2022-01-09,551247,500,10011,990013,122,15,2022-01-09,
2021-12-10,551248,510,10012,990014,787,10,2021-12-10,2022-01-09
2022-01-09,551248,510,10012,990014,787,15,2022-01-09,
2021-12-11,551249,520,10013,990015,55,10,2021-12-11,2022-01-10
2022-01-10,551249,520,10013,990015,55,20,2022-01-10,
2021-12-12,551250,520,10014,990016,66.96,10,2021-12-12,2022-01-13
2022-01-13,551250,520,10014,990016,66.96,15,2022-01-13,
2021-12-13,551251,500,10015,990017,984,10,2021-12-13,2022-01-15
2022-01-15,551251,500,10015,990017,984,15,2022-01-15,
2021-12-14,551252,500,10016,990018,452,10,2021-12-14,2022-01-16
2022-01-16,551252,500,10016,990018,452,15,2022-01-16,
2021-12-15,551253,510,10017,990019,856,10,2021-12-15,2022-01-30
2022-01-30,551253,510,10017,990019,856,15,2022-01-30,
2021-12-16,551254,520,10018,990020,85,10,2021-12-16,2022-01-01
2022-01-01,551254,520,10018,990020,85,15,2022-01-01,
2021-12-17,551255,520,10019,990021,45,10,2021-12-17,
2021-12-18,551256,520,10020,990022,36.87,10,2021-12-18,
2021-12-19,551257,520,10021,990023,85,10,2021-12-19,
2021-12-20,551258,500,10022,990024,912,10,2021-12-20,
2021-12-21,551259,500,10023,990025,128,10,2021-12-21,
2021-12-22,551260,510,10024,990026,128,10,2021-12-22,
2021-12-23,551261,520,10024,990027,458,10,2021-12-23,
2021-12-24,551262,520,10025,990028,12,10,2021-12-24,
2021-12-25,551263,500,10026,990029,36,10,2021-12-25,
2021-12-26,551264,500,10027,990001,58,10,2021-12-26,
2021-12-27,551265,510,10028,990002,22,10,2021-12-27,
2021-12-28,551266,520,10000,990003,1,10,2021-12-28,
2021-12-29,551267,500,10001,990004,8,10,2021-12-29,
2021-12-30,551268,500,10002,990005,9,10,2021-12-30,
2021-12-31,551269,510,10003,990006,877.69,10,2021-12-31,
2022-01-01,551270,520,10004,990007,5,10,2022-01-01,
2022-01-02,551271,520,10005,990009,6,10,2022-01-02,
2022-01-03,551272,500,10006,990010,200,10,2022-01-03,
2022-01-04,551273,500,10007,990011,200,10,2022-01-04,
2022-01-05,551274,510,10008,990012,58,10,2022-01-05,
2022-01-06,551275,520,10009,990013,369,10,2022-01-06,
2022-01-07,551276,520,10010,990014,452,10,2022-01-07,
2022-01-08,551277,500,10011,990015,"3,336.00",10,2022-01-08,
2022-01-09,551278,500,10012,990016,"1,242.00",10,2022-01-09,2022-01-10
2022-01-10,551278,500,10012,990016,"1,242.00",15,2022-01-10,
2022-01-10,551279,510,10013,990017,289,10,2022-01-10,2022-01-18
2022-01-18,551279,510,10013,990017,289,15,2022-01-18,
2022-01-11,551280,520,10014,990018,20,10,2022-01-11,2022-01-20
2022-01-20,551280,520,10014,990018,20,15,2022-01-20,
2022-01-12,551281,520,10019,990019,20,10,2022-01-12,2022-01-20
2022-01-20,551281,520,10019,990019,20,15,2022-01-20,
2022-01-13,551282,500,10020,990020,"3,336.00",10,2022-01-13,2022-01-26
2022-01-26,551282,500,10020,990020,"3,336.00",15,2022-01-26,
2022-01-14,551283,500,10021,990021,78,10,2022-01-14,2022-01-24
2022-01-24,551283,500,10021,990021,78,15,2022-01-24,
2022-01-15,551284,510,10022,990022,22,10,2022-01-15,2022-01-25
2022-01-25,551284,510,10022,990022,22,15,2022-01-25,
2021-12-10,551285,500,10010,990022,458,10,2021-12-10,2021-12-11
2021-12-11,551285,500,10010,990022,458,15,2021-12-11,
2021-12-10,551286,500,10010,990022,458,10,2021-12-10,2021-12-11
2021-12-11,551286,500,10010,990022,458,15,2021-12-11,
2021-12-12,551287,500,10010,990022,458,10,2021-12-12,2021-12-14
2021-12-14,551287,500,10010,990022,458,15,2021-12-14,
2021-12-15,551288,500,10010,990022,458,10,2021-12-15,2021-12-18
2021-12-18,551288,500,10010,990022,458,15,2021-12-18,
2021-12-19,551289,500,10010,990022,458,10,2021-12-19,2021-12-20
2021-12-20,551289,500,10010,990022,458,15,2021-12-20,
2021-12-25,551290,500,10010,990022,458,10,2021-12-25,2021-12-26
2021-12-26,551290,500,10010,990022,458,15,2021-12-26,
2021-12-28,551291,500,10010,990022,458,10,2021-12-28,2021-12-31
2021-12-31,551291,500,10010,990022,458,15,2021-12-31,
2022-01-02,551292,500,10010,990022,458,10,2022-01-02,2021-12-11
2022-01-05,551292,500,10010,990022,458,15,2021-12-11,
2022-01-07,551293,500,10010,990022,458,10,2022-01-07,2021-12-11
2021-12-08,551293,500,10010,990022,458,15,2021-12-11,
2021-12-18,551294,500,10011,990013,122,10,2021-12-18,2021-12-18
2021-12-18,551294,500,10011,990013,122,15,2021-12-18,
2021-12-28,551294,500,10011,990013,122,10,2021-12-28,2021-12-28
2022-01-28,551294,500,10011,990013,122,15,2022-01-28,
2022-01-08,551295,500,10011,990013,122,10,2022-01-08,2022-01-08
2022-01-08,551295,500,10011,990013,122,15,2022-01-08,
2022-01-18,551296,500,10011,990013,122,10,2022-01-18,2022-01-18
2022-01-18,551296,500,10011,990013,122,15,2022-01-18,
2022-01-28,551297,500,10011,990013,122,10,2022-01-28,2022-01-28
2022-01-28,551297,500,10011,990013,122,15,2022-01-28,
2022-01-05,551298,510,10008,990012,58,10,2022-01-05,
2022-01-06,551299,510,10008,990012,58,10,2022-01-06,2022-01-12
2022-01-12,551299,510,10008,990012,58,15,2022-01-12,
2022-01-07,551300,510,10008,990012,58,10,2022-01-07,2022-01-14
2022-01-14,551300,510,10008,990012,58,15,2022-01-14,
2022-01-08,551301,510,10008,990012,58,10,2022-01-08,2022-01-16
2022-01-16,551301,510,10008,990012,58,15,2022-01-16,
2022-01-09,551302,510,10008,990012,58,10,2022-01-09,2022-01-18
2022-01-18,551302,510,10008,990012,58,15,2022-01-18,
2022-01-10,551303,510,10008,990012,58,10,2022-01-10,2022-01-20
2022-01-20,551303,510,10008,990012,58,15,2022-01-20,
2022-01-11,551304,510,10008,990012,58,10,2022-01-11,2022-01-21
2022-01-21,551304,510,10008,990012,58,15,2022-01-21,
2022-01-12,551305,510,10008,990012,58,10,2022-01-12,2022-01-22
2022-01-22,551305,510,10008,990012,58,15,2022-01-22,
2022-01-09,551306,510,10003,990001,58,10,2022-01-09,2022-01-18
2022-01-18,551306,510,10003,990001,58,15,2022-01-18,
2022-01-10,551307,510,10003,990001,58,10,2022-01-10,2022-01-20
2022-01-20,551307,510,10003,990001,58,15,2022-01-20,
2022-01-11,551308,510,10003,990001,58,10,2022-01-11,2022-01-21
2022-01-21,551308,510,10003,990002,58,15,2022-01-21,
2022-01-12,551309,510,10003,990002,58,10,2022-01-12,2022-01-22
2022-01-22,551309,510,10003,990002,58,15,2022-01-22,
2022-01-07,551310,520,10014,990022,452,10,2022-01-07,2022-01-10
2022-01-10,551310,520,10014,990022,452,10,2022-01-10,
2022-01-10,551311,520,10014,990022,452,10,2022-01-10,2022-01-13
2022-01-13,551311,520,10014,990022,452,10,2022-01-13,
2022-01-13,551312,520,10014,990022,452,10,2022-01-13,2022-01-16
2022-01-16,551312,520,10014,990022,452,10,2022-01-16,
2022-01-16,551313,520,10014,990022,452,10,2022-01-16,2022-01-19
2022-01-19,551313,520,10014,990022,452,10,2022-01-19,
2022-01-07,551313,500,10000,990001,100.69,10,2022-01-07,2022-01-14
2022-01-14,551313,500,10000,990001,100.69,15,2022-01-14,
2022-01-08,551314,500,10000,990001,100.69,10,2022-01-08,2022-01-16
2022-01-16,551314,500,10000,990001,100.69,15,2022-01-16,
2022-01-09,551315,500,10000,990001,100.69,10,2022-01-09,2022-01-18
2022-01-18,551315,500,10000,990001,100.69,15,2022-01-18,
2022-01-10,551316,500,10000,990001,100.69,10,2022-01-10,2022-01-20
2022-01-20,551316,500,10000,990001,100.69,15,2022-01-20,
2022-01-11,551317,500,10000,990001,100.69,10,2022-01-11,2022-01-21
2022-01-21,551317,500,10000,990001,100.69,15,2022-01-21,
2022-01-12,551318,500,10000,990001,100.69,10,2022-01-12,2022-01-22
2022-01-22,551318,500,10000,990001,100.69,15,2022-01-22,
2022-01-09,551319,500,10000,990001,100.69,10,2022-01-09,2022-01-18
2022-01-18,551319,500,10000,990001,100.69,15,2022-01-18,
2022-01-10,551320,500,10000,990001,100.69,10,2022-01-10,2022-01-20
2022-01-20,551320,500,10000,990001,100.69,15,2022-01-20,
2022-01-11,551321,500,10000,990001,100.69,10,2022-01-11,2022-01-21
2022-01-21,551321,500,10000,990001,100.69,15,2022-01-21,
2022-01-12,551322,500,10000,990001,100.69,10,2022-01-12,2022-01-22
2022-01-22,551322,500,10000,990001,100.69,15,2022-01-22,
2022-01-07,551323,500,10000,990001,100.69,10,2022-01-07,2022-01-10
2022-01-10,551323,500,10000,990001,100.69,10,2022-01-10,
2022-01-10,551324,500,10000,990001,100.69,10,2022-01-10,2022-01-13
2022-01-13,551324,500,10000,990001,100.69,10,2022-01-13,
2022-01-13,551325,500,10000,990001,100.69,10,2022-01-13,2022-01-16
2022-01-16,551325,500,10000,990001,100.69,10,2022-01-16,
2022-01-16,551326,500,10000,990001,100.69,10,2022-01-16,2022-01-19
2022-01-19,551326,500,10000,990001,100.69,10,2022-01-19,
2022-01-12,551327,510,10012,990019,58,10,2022-01-12,2022-01-22
2022-01-22,551328,510,10012,990019,58,15,2022-01-22,
2022-01-09,551329,510,10012,990019,58,10,2022-01-09,2022-01-18
2022-01-18,551330,510,10012,990019,58,15,2022-01-18,
2022-01-10,551331,510,10012,990019,58,10,2022-01-10,2022-01-20
2022-01-20,551332,510,10012,990019,58,15,2022-01-20,
2022-01-11,551333,510,10012,990019,58,10,2022-01-11,2022-01-21
2022-01-21,551334,510,10012,990019,58,15,2022-01-21,
2022-01-12,551335,510,10012,990019,58,10,2022-01-12,2022-01-22
2022-01-22,551327,510,10012,990019,58,15,2022-01-22,
2022-01-07,551328,510,10012,990019,58,10,2022-01-07,2022-01-10
2022-01-10,551329,510,10012,990019,58,10,2022-01-10,
2022-01-10,551330,510,10012,990019,58,10,2022-01-10,2022-01-13
2022-01-13,551331,510,10012,990019,58,10,2022-01-13,
2022-01-13,551332,510,10012,990019,58,10,2022-01-13,2022-01-16
2022-01-16,551333,510,10012,990019,58,10,2022-01-16,
2022-01-16,551334,510,10012,990019,58,10,2022-01-16,2022-01-19
2022-01-19,551335,510,10012,990019,58,10,2022-01-19,
